date,pre_close,open,high,low,close,volume,amt
2011-01-25,994.9670,992.5730,992.5730,968.3240,978.9980,142106370.0000,5456790500.3000
2011-01-26,978.9980,978.0680,995.7850,977.8540,995.7440,116102095.0000,4471075782.7000
2011-01-27,995.7440,991.0590,1015.0460,984.7930,1013.0240,118612753.0000,4478251045.4000
2011-01-28,1013.0240,1013.6390,1023.6330,1011.3050,1020.9380,99853633.0000,3845952093.9000
2011-01-31,1020.9380,1021.6260,1030.1850,1014.3960,1029.1200,121155908.0000,4843983030.3000
2011-02-01,1029.1200,1029.6700,1034.1370,1026.8990,1032.6040,144771566.0000,5627794431.4000
2011-02-09,1032.6040,1026.4460,1037.8430,1021.7880,1025.1520,128717513.0000,4788958710.5000
2011-02-10,1025.1520,1026.2530,1063.9460,1024.7140,1063.9460,183397141.0000,6739881546.3000
2011-02-11,1063.9460,1067.1900,1075.5920,1065.1520,1071.5820,185821620.0000,7173863428.3000
2011-02-14,1071.5820,1072.3110,1087.3060,1072.3110,1086.5580,208543095.0000,8396670043.9000
2011-02-15,1086.5580,1086.7960,1097.5550,1082.2650,1087.7250,269248383.0000,9864464578.5000
2011-02-16,1087.7250,1086.7660,1107.2400,1083.8540,1107.2400,243005846.0000,9216956791.9000
2011-02-17,1107.2400,1108.6270,1116.9630,1103.8920,1115.3340,240753440.0000,9368212598.8000
2011-02-18,1115.3340,1114.4470,1114.6900,1098.5850,1100.4610,231441972.0000,8861477440.4000
2011-02-21,1100.4610,1096.1650,1117.6720,1094.4250,1117.6720,233885722.0000,9423123654.5000
2011-02-22,1117.6720,1118.6100,1122.1790,1087.0070,1088.2660,320233644.0000,12449323596.3000
2011-02-23,1088.2660,1088.0800,1117.2880,1087.8630,1114.0520,231321543.0000,9947056774.9000
2011-02-24,1114.0520,1112.4310,1112.7160,1094.6170,1101.9530,223863973.0000,9413685341.0000
2011-02-25,1101.9530,1098.1100,1098.7260,1085.7990,1095.0980,196628028.0000,7877872424.5000
2011-02-28,1095.0980,1096.3370,1099.7760,1087.5870,1099.7760,190378651.0000,7613564046.1000
2011-03-01,1099.7760,1100.8090,1102.5480,1091.9840,1098.0030,210151542.0000,8041563268.3000
2011-03-02,1098.0030,1094.9720,1096.0900,1077.6520,1088.8970,179765963.0000,6938441131.5000
2011-03-03,1088.8970,1088.8910,1091.8870,1062.3710,1064.3070,179970947.0000,6877460907.9000
2011-03-04,1064.3070,1063.4300,1071.8600,1056.5600,1071.8600,147127473.0000,5426590373.4000
2011-03-07,1071.8600,1073.9260,1078.1110,1069.9330,1078.1110,177002859.0000,6658859349.2000
2011-03-08,1078.1110,1079.5280,1085.3070,1074.1040,1084.8210,252698674.0000,8812151075.5000
2011-03-09,1084.8210,1084.7030,1087.2990,1075.4620,1087.2990,245323916.0000,8904006385.6000
2011-03-10,1087.2990,1088.3440,1103.5350,1087.5650,1093.9040,256424723.0000,9837759863.6000
2011-03-11,1093.9040,1090.2120,1113.0120,1088.6530,1101.7600,275535504.0000,10764426136.2000
2011-03-14,1101.7600,1099.3180,1107.5370,1095.9000,1107.5370,254307511.0000,9295615659.6000
2011-03-15,1107.5370,1108.1970,1108.1970,1078.2280,1094.9540,278624992.0000,10290754819.6000
2011-03-16,1094.9540,1094.1240,1102.6740,1094.1240,1102.2150,262125455.0000,9973230861.1000
2011-03-17,1102.2150,1096.2230,1096.2230,1074.8660,1078.3710,257918719.0000,9618101955.4000
2011-03-18,1078.3710,1081.6010,1088.3080,1079.5610,1083.5970,171408736.0000,6422766490.8000
2011-03-21,1083.5970,1083.1460,1084.5480,1068.3150,1070.6010,167500757.0000,6448694479.4000
2011-03-22,1070.6010,1072.3870,1074.0820,1057.8640,1067.2850,184655947.0000,6761189930.2000
2011-03-23,1067.2850,1066.1720,1076.5630,1064.5900,1076.5630,176214076.0000,6575953788.9000
2011-03-24,1076.5630,1078.0180,1081.5860,1074.0390,1077.9880,187212741.0000,6819943345.8000
2011-03-25,1077.9880,1077.3430,1078.0180,1069.3790,1072.3430,197772013.0000,7106483087.3000
2011-03-28,1072.3430,1072.8890,1074.4090,1051.0160,1052.1130,228775279.0000,8190142769.1000
2011-03-29,1052.1130,1050.2900,1050.2900,1017.8810,1019.0400,276317108.0000,9805267660.1000
2011-03-30,1019.0400,1017.1650,1019.1740,1004.3770,1006.3660,194415868.0000,6412176539.4000
2011-03-31,1006.3660,1006.7210,1019.3200,1005.3740,1008.2960,159041696.0000,5135415439.8000
2011-04-01,1008.2960,1006.0380,1015.0760,1002.8590,1015.0760,129401988.0000,4125940104.1000
2011-04-06,1015.0760,1011.6760,1011.8230,992.3110,994.2610,154165462.0000,4960951147.5000
2011-04-07,994.2610,993.3750,1004.4120,992.4340,1004.4120,177395226.0000,5465477886.5000
2011-04-08,1004.4120,1004.1360,1019.1420,1002.3790,1019.1420,156926772.0000,4954630475.0000
2011-04-11,1019.1420,1021.3050,1022.5580,1002.4340,1002.8040,171057482.0000,5550287668.8000
2011-04-12,1002.8040,1000.7670,1007.2510,997.7500,1000.1650,135487246.0000,4373985587.2000
2011-04-13,1000.1650,999.5340,1020.7470,998.5170,1020.7470,150899583.0000,5016655716.4000
2011-04-14,1020.7470,1021.1010,1021.4630,1013.9910,1016.6160,141261098.0000,4647287008.4000
2011-04-15,1016.6160,1015.9660,1016.1500,1002.6400,1010.0580,177714554.0000,5334863644.0000
2011-04-18,1010.0580,1008.4840,1010.6620,1000.1790,1003.2580,152424610.0000,4609672948.4000
2011-04-19,1003.2580,1000.8790,1000.8790,986.8970,994.2990,175937045.0000,5369581955.9000
2011-04-20,994.2990,993.9370,1009.5010,991.8780,1008.1800,168770286.0000,5324734474.5000
2011-04-21,1008.1800,1007.9790,1017.7030,1006.9070,1010.5600,238819219.0000,7231817913.6000
2011-04-22,1010.5600,1008.1660,1008.2980,1000.9200,1004.6460,189359565.0000,5644620785.5000
2011-04-25,1004.6460,1001.0830,1001.0830,974.9850,975.1750,199028671.0000,5888716834.9000
2011-04-26,975.1750,970.9580,973.5610,954.9840,958.2920,196991845.0000,5652329463.2000
2011-04-27,958.2920,956.7710,961.6440,936.9880,942.5430,182712459.0000,5145599183.4000
2011-04-28,942.5430,941.1960,944.7040,903.0290,904.1470,193484910.0000,5251374102.7000
2011-04-29,904.1470,901.1560,912.7150,897.2010,912.7150,131767109.0000,3479072241.7000
2011-05-03,912.7150,911.7920,923.0580,907.2770,922.0720,122649949.0000,3188961535.3000
2011-05-04,922.0720,919.6670,919.6670,901.9180,903.9850,127060182.0000,3320308563.2000
2011-05-05,903.9850,901.4750,919.6040,900.3480,914.5930,147380896.0000,3827690924.8000
2011-05-06,914.5930,910.1390,920.7740,904.7430,918.2820,133400638.0000,3522256225.5000
2011-05-09,918.2820,920.1200,935.9010,920.1200,931.7700,155707175.0000,3716391890.4000
2011-05-10,931.7700,932.8760,933.2360,925.0380,931.2050,126721356.0000,3183772838.5000
2011-05-11,931.2050,931.5090,933.2800,923.2570,929.9530,159604002.0000,4410316166.0000
2011-05-12,929.9530,927.1520,927.1520,909.1400,909.2550,164675293.0000,4266441526.0000
2011-05-13,909.2550,909.2450,912.6090,897.7980,909.7740,154428900.0000,3926926044.3000
2011-05-16,909.7740,911.3350,916.0170,906.0810,906.3370,133288399.0000,3472837072.8000
2011-05-17,906.3370,903.9780,904.4770,890.3580,895.1490,162441336.0000,3917310318.6000
2011-05-18,895.1490,891.9940,894.8880,888.1750,890.7940,174446439.0000,4078169066.1000
2011-05-19,890.7940,891.4790,895.5390,883.8670,884.8900,144897241.0000,3346404229.5000
2011-05-20,884.8900,884.0610,884.3340,873.8670,875.4300,141662649.0000,3351488290.3000
2011-05-23,875.4300,873.3140,873.5870,840.6530,840.8980,204742285.0000,4393330137.1000
2011-05-24,840.8980,836.7890,876.5960,828.4970,870.9390,278284463.0000,5944870744.1000
2011-05-25,870.9390,867.6810,867.6810,842.1240,842.3500,217637563.0000,4720996240.9000
2011-05-26,842.3500,843.6240,852.9820,830.6390,830.9210,174144592.0000,3719252551.3000
2011-05-27,830.9210,830.6050,835.8660,819.8700,822.9440,184951451.0000,3744635268.2000
2011-05-30,822.9440,819.8680,844.9680,816.3920,834.3160,233578299.0000,4571868803.6000
2011-05-31,834.3160,836.3470,846.3150,828.6560,846.3150,249946603.0000,5157702211.7000
2011-06-01,846.3150,846.4760,852.6570,843.2930,851.1660,235877861.0000,4868533157.2000
2011-06-02,851.1660,841.5190,841.5190,823.0980,833.7370,209570266.0000,4407384422.1000
